Measure Number: 1
A0 0 1920 0
B0 1 1920 -1
B0 2 1920 0
C1 3 1920 0
D1 4 1920 -1
D1 5 1920 0
E1 6 1920 -1
E1 7 1920 0
F1 8 1920 0
G1 9 1920 -1
G1 10 1920 0
A1 11 1920 -1
A1 12 1920 0
B1 13 1920 -1
B1 14 1920 0
C2 15 1920 0
D2 16 1920 -1
D2 17 1920 0
E2 18 1920 -1
E2 19 1920 0
F2 20 1920 0
G2 21 1920 -1
G2 22 1920 0
A2 23 1920 -1
A2 24 1920 0
B2 25 1920 -1
B2 26 1920 0
C3 27 1920 0
D3 28 1920 -1
D3 29 1920 0
E3 30 1920 -1
E3 31 1920 0
F3 32 1920 0
G3 33 1920 -1
G3 34 1920 0
A3 35 1920 -1
A3 36 1920 0
B3 37 1920 -1
B3 38 1920 0
C4 39 1920 0
D4 40 1920 -1
D4 41 1920 0
E4 42 1920 -1
E4 43 1920 0
F4 44 1920 0
G4 45 1920 -1
G4 46 1920 0
A4 47 1920 -1
A4 48 1920 0
B4 49 1920 -1
B4 50 1920 0
C5 51 1920 0
D5 52 1920 -1
D5 53 1920 0
E5 54 1920 -1
E5 55 1920 0
F5 56 1920 0
G5 57 1920 -1
G5 58 1920 0
A5 59 1920 -1
A5 60 1920 0
B5 61 1920 -1
B5 62 1920 0
C6 63 1920 0
D6 64 1920 -1
D6 65 1920 0
E6 66 1920 -1
E6 67 1920 0
F6 68 1920 0
G6 69 1920 -1
G6 70 1920 0
A6 71 1920 -1
A6 72 1920 0
B6 73 1920 -1
B6 74 1920 0
C7 75 1920 0
D7 76 1920 -1
D7 77 1920 0
E7 78 1920 -1
E7 79 1920 0
F7 80 1920 0
G7 81 1920 -1
G7 82 1920 0
A7 83 1920 -1
A7 84 1920 0
B7 85 1920 -1
B7 86 1920 0
C8 87 1920 0
D8 88 1920 -1
D8 89 1920 0
E8 90 1920 -1
E8 91 1920 0
F8 92 1920 0
G8 93 1920 -1
