Measure Number: 1
C5 104 6 0
C5 134 12 0
C5 180 6 0
C4 104 6 0
C4 134 12 0
C4 180 6 0
Measure Number: 2
C5 12 12 0
C5 57 6 0
C5 85 12 0
C5 130 6 0
C4 12 12 0
C4 57 6 0
C4 85 12 0
C4 130 6 0
Measure Number: 3
A4 12 12 0
C5 12 12 0
A4 61 6 0
C5 61 6 0
B4 80 12 -1
C5 92 12 0
B4 129 6 -1
C5 141 6 0
F3 12 12 0
C4 12 12 0
F3 61 6 0
C4 61 6 0
F3 92 12 0
C4 92 12 0
F3 141 6 0
C4 141 6 0
Measure Number: 4
E5 12 9 0
D5 56 3 0
C5 78 6 0
A4 118 12 0
F5 118 12 0
F4 167 6 0
D5 167 6 0
B4 12 12 -1
B4 90 6 -1
F3 12 12 0
C4 12 12 0
F3 78 6 0
C4 78 6 0
F3 118 12 0
C4 118 12 0
B3 167 6 -1
Measure Number: 5
F4 10 12 0
C5 10 12 0
E4 56 6 0
A4 56 6 0
C4 85 12 0
F4 85 12 0
B3 132 6 -1
F4 132 6 0
G4 144 6 0
A3 10 12 0
C3 56 6 0
A3 56 6 0
D3 85 12 0
A3 85 12 0
G2 132 6 0
D3 132 6 0
Measure Number: 6
G4 12 18 0
C4 91 12 0
A4 91 12 0
D4 139 6 0
B4 139 6 -1
B3 12 12 -1
E4 12 12 0
B3 61 6 -1
D4 61 6 0
C3 12 12 0
C3 61 6 0
F2 91 12 0
F3 91 12 0
B2 139 6 -1
F3 139 6 0
Measure Number: 7
C4 84 12 0
A4 84 12 0
D4 127 6 0
F4 127 6 0
C4 154 12 0
A4 154 12 0
B3 198 6 -1
B4 198 6 -1
C3 84 12 0
F3 84 12 0
B2 127 6 -1
F3 127 6 0
C3 154 12 0
F3 154 12 0
D3 198 6 0
F3 198 6 0
Measure Number: 8
A4 12 9 0
G4 49 3 0
F4 68 6 0
C4 98 12 0
A4 98 12 0
B3 140 6 -1
B4 140 6 -1
C4 12 12 0
D4 68 6 0
C3 12 12 0
F3 12 12 0
B2 68 6 -1
F3 68 6 0
C3 98 12 0
F3 98 12 0
D3 140 6 0
F3 140 6 0
Measure Number: 9
A4 12 9 0
G4 48 3 0
F4 66 6 0
G4 95 18 0
C4 12 12 0
C4 66 6 0
D4 95 12 0
C4 135 6 0
E4 135 6 0
C3 12 12 0
F3 12 12 0
C3 66 6 0
A3 66 6 0
C3 95 12 0
B3 95 12 -1
C3 135 6 0
B3 135 6 -1
Measure Number: 10
F4 12 18 0
C5 81 18 0
C4 12 12 0
C4 54 6 0
F4 81 12 0
A4 81 12 0
F4 123 6 0
A4 123 6 0
F3 12 12 0
A3 12 12 0
F3 54 6 0
A3 54 6 0
F3 81 12 0
C4 81 12 0
F3 123 6 0
C4 123 6 0
Measure Number: 11
C5 12 12 0
F4 59 6 0
A4 59 6 0
C5 59 6 0
G4 89 12 0
B4 89 12 -1
C5 101 12 0
G4 136 6 0
B4 136 6 -1
C5 148 6 0
F4 12 12 0
A4 12 12 0
F3 12 12 0
C4 12 12 0
F3 59 6 0
C4 59 6 0
F3 89 12 0
C4 89 12 0
F3 136 6 0
C4 136 6 0
Measure Number: 12
E5 12 9 0
D5 52 3 0
C5 73 6 0
F4 113 12 0
A4 113 12 0
F5 113 12 0
F4 158 6 0
D5 158 6 0
G4 12 12 0
B4 12 12 -1
G4 85 6 0
B4 85 6 -1
F3 12 12 0
C4 12 12 0
F3 73 6 0
C4 73 6 0
F3 113 12 0
C4 113 12 0
B3 158 6 -1
Measure Number: 13
F4 81 12 0
C5 81 12 0
E4 126 6 0
A4 126 6 0
C4 154 12 0
F4 154 12 0
B3 200 6 -1
F4 200 6 0
G4 212 6 0
A3 81 12 0
C3 126 6 0
A3 126 6 0
D3 154 12 0
A3 154 12 0
G2 200 6 0
D3 200 6 0
Measure Number: 14
G4 12 18 0
C4 89 12 0
A4 89 12 0
D4 136 6 0
B4 136 6 -1
B3 12 12 -1
E4 12 12 0
B3 59 6 -1
D4 59 6 0
C3 12 12 0
C3 59 6 0
F2 89 12 0
F3 89 12 0
B2 136 6 -1
F3 136 6 0
Measure Number: 15
