Measure Number: 1
B0 0 1920 -1
B1 4 1920 -1
B2 5 1920 -1
B3 6 1920 -1
B4 7 1920 -1
B5 8 1920 -1
B6 9 1920 -1
B7 10 1920 -1
D1 11 1920 -1
D2 12 1920 -1
D3 13 1920 -1
D4 14 1920 -1
D5 15 1920 -1
D6 16 1920 -1
D7 17 1920 -1
E1 18 1920 -1
E2 19 1920 -1
E3 20 1920 -1
E4 21 1920 -1
E5 22 1920 -1
E6 23 1920 -1
E7 24 1920 -1
G1 25 1920 -1
G2 26 1920 -1
G3 27 1920 -1
G4 28 1920 -1
G5 29 1920 -1
G6 30 1920 -1
G7 31 1920 -1
A1 32 1920 -1
A2 33 1920 -1
A3 34 1920 -1
A4 35 1920 -1
A5 36 1920 -1
A6 37 1920 -1
A7 38 1920 -1
